id;station
218;Gare de Marseille-Blancarde
219;Gare de Orléans
220;Gare de Pont-de-Dore
221;Lyon-Perrache-Gare-Rout
222;Gare de Puyoô
223;Gare de Mullheim-Baden-Bf
224;Gare de Lons-le-Saunier
225;Gare de WINDEN PFALZ
226;Gare de Vallorcine
227;Gare de Lannion
228;Gare de Charleroi Sud
229;Gare de Le Lioran
230;Grandris-Centre
231;Gare de Revigny
232;Gare de Sain-Bel
233;Loches-LEP
234;Gare de Ambérieu-en-Bugey
235;Gare de Martigues
236;Gare de Chamonix-Mont-Blanc
237;Gare de Louhans
238;Gare de Bedous
239;Routot-Place-de-mairie
240;Gare de Château-Gaillard
241;Gare de Brou
242;Reignac-Bourg-Du-Fau
243;Gare de Saint-Jean-Pied-de-Port
244;Gare de Callac
245;Gare de Montréjeau-Gourdan-Pol.
246;Laqueuille
247;Gare de Benfeld
248;Gare de Villers-les-Pots
249;Gare de Courtalain-Saint-Pellerin
250;Gare de Besançon-Viotte
251;Gare de Loches
252;Gare de Oloron-Ste-Marie
253;Gare de Mazamet
254;Lièpvre-(Rte-Vancelle)
255;Saint-Léonard Centre
256;Gare de Vorey
257;Saverne-(Lycée-Verne)
258;Gare de Thonon-les-Bains
259;Cernay-(Lycée)
260;Riquewihr-Poste
261;Gare de Argenton-sur-Creuse
262;Gare de La-Rochelle-Pt-Dauphine
263;Gare de Saint-Aignan-Noyers
264;Gare de Longages-Noé
265;Gare de Colmar
266;Gare de Versailles-Chantiers
267;Gare de Morhange
268;Gare de Saint-Germain-des-Fossés
269;Gare de Pessac
270;Gare de Nantes
271;Moyen
272;Gare de Mantes-la-Jolie
273;Gare de Barr
274;Gare de Condat-le-Lardin
275;Gare de Saint-Yrieix-la-Perche
276;Gare de Dives-Cabourg
277;Courtalain-Centre
278;Gare de Niederbronn
279;Bort-les-Orgues
280;Ancizes-Saint-Georges-Bour
281;Gare de Béziers
282;Gare de Mulhouse
283;nan
284;Gare de Issoire
285;Gare de Rennes
286;Gare de Beauvais-Gare-SNCF
287;Gare de Veynes-Dévoluy
288;Loches-Lycee-Saint-Denis
289;Gare de Montivilliers
290;Neuwiller-R.-Bouxwiller
291;Truyes-Pl-Du-Souvenir
292;Sélestat-(Schweisguth)
293;Gare de St Omer
294;Gare de Rodez
295;Gare de Digoin
296;Sarrebourg (Place Math)
297;Gare de Vallon-en-Sully
298;Gare de Wissembourg
299;Pontgibaud-Ville
300;Dompierre-Halte-Rout.
301;Gare de Luxembourg
302;Gare de Coutances
303;Chambourg-Chopin
304;Marvejols Place Chayla
305;Gare de Coppet
306;Gare de Cosne-sur-Loire
307;La Bresse Le Lispach
308;Gare de Givet
309;Gare de Namur
310;Noirétable
311;Gare de Herrlisheim (Bas-Rhin)
312;Gare de Mons
313;Gare de Marle-sur-Serre
314;Gare de Cannes-la-Bocca
